author_id,author
0,J.K. Rowling
1,Mary GrandPré
2,Harper Lee
3,Jane Austen
4,Anna Quindlen
5,Mrs. Oliphant
6,George Saintsbury
7,Mark Twain
8,A.C. Bradley
9,Walter A. Raleigh
10,Virginia Woolf
11,Markus Zusak
12,C.S. Lewis
13,Pauline Baynes
14,J.R.R. Tolkien
15,Emily Brontë
16,Richard J. Dunn
17,David Timson
18,Charlotte Brontë
19,Ruth Golding
20,Robert Heindel
21,Arthur Golden
22,Oscar Wilde
23,Jeffrey Eugenides
24,Michael Mason
25,William Shakespeare
26,Barbara A. Mowat
27,Paul Werstine
28,William Golding
29,Fyodor Dostoyevsky
30,David McDuff
31,Orson Scott Card
32,E.B. White
33,Garth Williams
34,Rosemary Wells
35,John Steinbeck
36,Bram Stoker
37,Nina Auerbach
38,David J. Skal
39,William Goldman
40,Rick Riordan
41,Charles Dickens
42,Richard Maxwell
43,Hablot Knight Browne
44,Mary Wollstonecraft Shelley
45,Percy Bysshe Shelley
46,Maurice Hindle
47,Khaled Hosseini
48,Stephen King
49,Bernie Wrightson
50,Ken Kesey
51,Sylvia Plath
52,Reinhard Kaiser
53,Stieg Larsson
54,Reg Keeland
55,Betty  Smith
56,Ray Bradbury
57,Leo Tolstoy
58,Richard Pevear
59,Larissa Volokhonsky
60,George Orwell
61,Erich Fromm
62,Cassandra Clare
63,Marisa Sestino
64,Mikhail Bulgakov
65,Katherine Tiernan O'Connor
66,Ellendea Proffer
67,Diana Burgin
68,Mark Haddon
69,Nathaniel Hawthorne
70,Thomas E. Connolly
71,Nina Baym
72,Becca Fitzpatrick
73,Mitch Albom
74,Mario Puzo
75,Robert Thompson
76,Peter Bart
77,Truman Capote
78,Aylmer Maude
79,Louise Maude
80,Frank Herbert
81,Laura Ingalls Wilder
82,Neil Gaiman
83,J.M. Barrie
84,Michael Hague
85,Alexandre Dumas
86,Robin Buss
87,Gabriel García Márquez
88,Edith Grossman
89,Veronica Roth
90,L. Frank Baum
91,W.W. Denslow
92,Margaret Wise Brown
93,Clement Hurd
94,Wilson Rawls
95,Pearl S. Buck
96,Catherine Belsey
97,Richard Bach
98,Russell Munson
99,Gustave Flaubert
100,Malcolm Bowie
101,Margaret Mauldon
102,Mark Overstall
103,Philip Horne
104,George Cruikshank
105,James Joyce
106,Morris L. Ernst
107,John M. Woolsey
108,James Dashner
109,Philippa Gregory
110,Richelle Mead
111,Lauren Kate
112,Frances Hodgson Burnett
