bid,author_id,id
b0001,0,1
b0001,1,2
b0002,2,3
b0003,3,4
b0003,4,5
b0003,5,6
b0003,6,7
b0003,7,8
b0003,8,9
b0003,9,10
b0003,10,11
b0004,11,12
b0005,12,13
b0005,13,14
b0006,14,15
b0007,15,16
b0007,16,17
b0007,17,18
b0007,18,19
b0007,19,20
b0007,20,21
b0008,21,22
b0009,22,23
b0009,23,24
b0010,18,25
b0010,24,26
b0011,25,27
b0011,26,28
b0011,27,29
b0012,28,30
b0013,29,31
b0013,30,32
b0014,31,33
b0015,32,34
b0015,33,35
b0015,34,36
b0016,35,37
b0017,36,38
b0017,37,39
b0017,38,40
b0018,39,41
b0019,40,42
b0020,41,43
b0020,42,44
b0020,43,45
b0021,44,46
b0021,45,47
b0021,46,48
b0022,47,49
b0023,48,50
b0023,49,51
b0024,50,52
b0025,51,53
b0025,52,54
b0026,53,55
b0026,54,56
b0027,55,57
b0028,14,58
b0029,0,59
b0029,1,60
b0030,56,61
b0031,41,62
b0032,57,63
b0032,58,64
b0032,59,65
b0033,60,66
b0033,61,67
b0034,62,68
b0035,41,69
b0035,63,70
b0036,64,71
b0036,65,72
b0036,66,73
b0036,67,74
b0037,0,75
b0037,1,76
b0038,68,77
b0039,69,78
b0039,70,79
b0039,71,80
b0040,72,81
b0041,73,82
b0042,74,83
b0042,75,84
b0042,76,85
b0043,77,86
b0044,57,87
b0044,78,88
b0044,79,89
b0045,80,90
b0046,81,91
b0046,33,92
b0047,82,93
b0048,83,94
b0048,84,95
b0049,12,96
b0050,85,97
b0050,86,98
b0051,87,99
b0051,88,100
b0052,89,101
b0053,0,102
b0053,1,103
b0054,90,104
b0054,91,105
b0055,92,106
b0055,93,107
b0056,94,108
b0057,95,109
b0058,25,110
b0058,26,111
b0058,27,112
b0058,96,113
b0059,97,114
b0059,98,115
b0060,99,116
b0060,100,117
b0060,101,118
b0060,102,119
b0061,53,120
b0061,54,121
b0062,41,122
b0062,103,123
b0062,104,124
b0063,105,125
b0063,106,126
b0063,107,127
b0064,108,128
b0065,109,129
b0066,110,130
b0067,111,131
b0068,112,132
b0068,113,133
b0069,110,134
b0070,114,135
b0071,115,136
b0072,116,137
b0072,117,138
b0072,118,139
b0073,40,140
b0074,119,141
b0074,120,142
b0075,121,143
b0076,122,144
b0077,12,145
b0078,62,146
b0079,62,147
b0080,123,148
b0080,124,149
b0081,125,150
b0082,126,151
b0082,127,152
b0083,128,153
b0084,129,154
b0085,130,155
b0086,48,156
b0087,53,157
b0087,54,158
b0088,131,159
b0089,132,160
b0090,133,161
b0090,134,162
b0091,135,163
b0092,136,164
b0092,137,165
b0092,138,166
b0093,139,167
b0094,140,168
b0095,141,169
b0096,142,170
b0096,143,171
b0097,144,172
b0098,40,173
b0099,145,174
b0100,89,175
b0101,40,176
b0102,146,177
b0102,147,178
b0102,148,179
b0103,82,180
b0103,149,181
b0103,150,182
b0104,3,183
b0105,151,184
b0106,72,185
b0107,130,186
b0108,152,187
b0109,153,188
b0110,154,189
b0110,155,190
b0111,56,191
b0112,48,192
b0113,156,193
b0114,14,194
b0114,157,195
b0115,158,196
b0116,159,197
b0116,160,198
b0117,161,199
b0118,162,200
b0118,163,201
b0119,164,202
b0120,123,203
b0120,124,204
b0121,123,205
b0121,124,206
b0122,35,207
b0123,165,208
b0123,166,209
b0123,167,210
b0124,168,211
b0125,169,212
b0125,170,213
b0126,171,214
b0126,172,215
b0127,35,216
b0128,173,217
b0129,123,218
b0129,124,219
b0130,105,220
b0130,174,221
b0131,175,222
b0131,176,223
b0131,177,224
b0132,40,225
b0133,111,226
b0134,178,227
b0134,179,228
b0135,180,229
b0136,181,230
b0136,182,231
b0137,183,232
b0137,184,233
b0138,185,234
b0139,25,235
b0139,26,236
b0139,27,237
b0139,186,238
b0139,187,239
b0140,188,240
b0141,123,241
b0141,124,242
b0142,189,243
b0143,57,244
b0143,190,245
b0143,78,246
b0143,79,247
b0144,191,248
b0144,192,249
b0145,193,250
b0145,194,251
b0145,195,252
b0146,196,253
b0147,35,254
b0148,197,255
b0149,198,256
b0150,199,257
b0151,200,258
b0152,25,259
b0152,201,260
b0152,202,261
b0153,31,262
b0153,203,263
b0154,62,264
b0155,204,265
b0156,205,266
b0157,206,267
b0158,207,268
b0159,208,269
b0160,209,270
b0161,173,271
b0162,151,272
b0163,210,273
b0164,211,274
b0165,3,275
b0165,212,276
b0165,213,277
b0166,108,278
b0167,214,279
b0168,215,280
b0169,216,281
b0170,14,282
b0171,217,283
b0171,218,284
b0172,219,285
b0173,41,286
b0173,220,287
b0174,221,288
b0175,222,289
b0175,223,290
b0176,224,291
b0177,132,292
b0178,225,293
b0179,226,294
b0180,227,295
b0181,173,296
b0182,228,297
b0182,229,298
b0183,230,299
b0183,231,300
b0183,232,301
b0184,233,302
b0185,62,303
b0186,234,304
b0187,235,305
b0188,236,306
b0189,237,307
b0189,238,308
b0190,239,309
b0190,240,310
b0191,185,311
b0192,241,312
b0193,3,313
b0193,242,314
b0193,243,315
b0194,14,316
b0194,244,317
b0195,245,318
b0196,246,319
b0196,247,320
b0197,248,321
b0198,249,322
b0199,250,323
b0200,225,324
b0201,48,325
b0202,248,326
b0203,129,327
b0204,3,328
b0204,251,329
b0205,188,330
b0206,252,331
b0207,253,332
b0208,139,333
b0209,111,334
b0210,254,335
b0211,246,336
b0211,255,337
b0211,256,338
b0212,257,339
b0213,258,340
b0214,110,341
b0215,259,342
b0216,260,343
b0217,261,344
b0217,262,345
b0217,263,346
b0218,264,347
b0218,265,348
b0218,266,349
b0219,267,350
b0220,268,351
b0220,269,352
b0221,270,353
b0222,40,354
b0223,271,355
b0224,123,356
b0224,124,357
b0225,40,358
b0226,272,359
b0227,156,360
b0228,273,361
b0228,274,362
b0229,275,363
b0230,276,364
b0231,277,365
b0231,278,366
b0232,279,367
b0233,280,368
b0234,281,369
b0234,282,370
b0235,48,371
b0236,283,372
b0236,158,373
b0237,284,374
b0238,285,375
b0239,248,376
b0240,286,377
b0241,287,378
b0242,206,379
b0243,288,380
b0243,240,381
b0244,289,382
b0245,290,383
b0246,291,384
b0247,292,385
b0248,293,386
b0249,294,387
b0249,295,388
b0249,296,389
b0250,281,390
b0251,10,391
b0252,297,392
b0252,298,393
b0253,299,394
b0254,300,395
b0255,248,396
b0256,301,397
b0257,302,398
b0257,302,399
b0258,303,400
b0259,206,401
b0260,304,402
b0261,87,403
b0261,305,404
b0262,306,405
b0263,193,406
b0263,307,407
b0264,180,408
b0265,116,409
b0265,117,410
b0265,308,411
b0265,118,412
b0266,309,413
b0266,310,414
b0267,311,415
b0268,312,416
b0269,313,417
b0270,314,418
b0271,235,419
b0272,237,420
b0272,315,421
b0272,316,422
b0272,317,423
b0273,318,424
b0274,132,425
b0275,319,426
b0276,320,427
b0276,321,428
b0276,322,429
b0277,257,430
b0278,323,431
b0278,324,432
b0279,325,433
b0280,48,434
b0280,326,435
b0281,0,436
b0282,248,437
b0283,48,438
b0283,327,439
b0284,328,440
b0284,329,441
b0285,330,442
b0286,267,443
b0287,331,444
b0287,332,445
b0288,271,446
b0289,225,447
b0290,333,448
b0290,334,449
b0291,335,450
b0292,56,451
b0293,336,452
b0294,40,453
b0294,337,454
b0294,338,455
b0295,339,456
b0295,340,457
b0296,341,458
b0297,342,459
b0298,343,460
b0298,109,461
b0299,344,462
b0300,271,463
b0301,196,464
b0302,345,465
b0303,346,466
b0304,347,467
b0304,348,468
b0305,349,469
b0306,156,470
b0307,271,471
b0307,350,472
b0308,351,473
b0309,209,474
b0310,352,475
b0311,353,476
b0311,354,477
b0311,355,478
b0312,356,479
b0312,357,480
b0313,183,481
b0313,358,482
b0314,248,483
b0315,359,484
b0316,253,485
b0317,48,486
b0318,152,487
b0319,360,488
b0319,361,489
b0319,0,490
b0320,362,491
b0321,363,492
b0321,364,493
b0322,365,494
b0323,366,495
b0323,367,496
b0323,368,497
b0324,215,498
b0325,369,499
b0325,370,500
b0325,371,501
b0326,372,502
b0327,188,503
b0328,199,504
b0329,273,505
b0329,274,506
b0330,252,507
b0331,248,508
b0332,373,509
b0333,374,510
b0333,14,511
b0333,375,512
b0333,376,513
b0334,257,514
b0335,377,515
b0336,257,516
b0337,378,517
b0337,379,518
b0338,380,519
b0339,303,520
b0340,381,521
b0341,382,522
b0342,383,523
b0343,384,524
b0343,385,525
b0344,259,526
b0345,325,527
b0346,386,528
b0346,387,529
b0347,388,530
b0348,7,531
b0348,389,532
b0349,303,533
b0350,390,534
b0351,129,535
b0351,391,536
b0351,392,537
b0351,393,538
b0352,394,539
b0353,395,540
b0354,396,541
b0354,397,542
b0355,398,543
b0355,399,544
b0355,400,545
b0356,401,546
b0357,402,547
b0358,403,548
b0359,328,549
b0359,329,550
b0360,404,551
b0361,328,552
b0361,329,553
b0362,405,554
b0363,406,555
b0364,407,556
