category_id,category
436,School
437,Memoir
438,Politics
439,Contemporary Romance
440,Christian
441,Mythology
442,Autobiography
443,Plays
444,Academic
445,Magic
446,Poetry
447,Science
448,France
449,Paranormal Romance
450,War
451,Dystopia
452,Urban Fantasy
453,Biography
454,Adventure
455,Graphic Novels
456,Crime
457,Short Stories
458,Humor
459,Novels
460,Vampires
461,Religion
462,History
463,Comics
464,Thriller
465,Philosophy
466,Childrens
467,Horror
468,Contemporary
469,European Literature
470,Sequential Art
471,Cultural
472,Historical Fiction
473,Mystery
474,Nonfiction
475,Literature
476,Science Fiction
477,Historical
478,Young Adult
479,Paranormal
480,Classics
481,Romance
482,Fantasy
483,Fiction
